codelist,code,term
methylphenidate,10539411000001102,Methylphenidate 10mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,10540211000001109,Methylphenidate 20mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,10540411000001108,Methylphenidate 5mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,11273111000001108,Medikinet 5mg tablets (Medice UK Ltd) (AMP)
methylphenidate,11273311000001105,Medikinet 10mg tablets (Medice UK Ltd) (AMP)
methylphenidate,11273511000001104,Medikinet 20mg tablets (Medice UK Ltd) (AMP)
methylphenidate,11273711000001109,Medikinet XL 20mg capsules (Medice UK Ltd) (AMP)
methylphenidate,11274111000001105,Medikinet XL 10mg capsules (Medice UK Ltd) (AMP)
methylphenidate,11274411000001100,Medikinet XL 30mg capsules (Medice UK Ltd) (AMP)
methylphenidate,11274711000001106,Medikinet XL 40mg capsules (Medice UK Ltd) (AMP)
methylphenidate,11464911000001101,Concerta XL 27mg tablets (Janssen-Cilag Ltd) (AMP)
methylphenidate,11484211000001107,Methylphenidate 20mg modified-release tablets (Special Order) (AMP)
methylphenidate,11930211000001106,Ritalin 10mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,12128511000001108,Methylphenidate 10mg/5ml oral solution (Special Order) (AMP)
methylphenidate,12128811000001106,Methylphenidate 12.5mg/5ml oral solution (Special Order) (AMP)
methylphenidate,12129311000001108,Methylphenidate 2.5mg/5ml oral solution (Special Order) (AMP)
methylphenidate,12129611000001103,Methylphenidate 20mg/5ml oral solution (Special Order) (AMP)
methylphenidate,12129911000001109,Methylphenidate 6.25mg/5ml oral solution (Special Order) (AMP)
methylphenidate,12140011000001100,Methylphenidate 10mg/5ml oral solution (VMP)
methylphenidate,12140111000001104,Methylphenidate 12.5mg/5ml oral solution (VMP)
methylphenidate,12140211000001105,Methylphenidate 2.5mg/5ml oral solution (VMP)
methylphenidate,12140311000001102,Methylphenidate 20mg/5ml oral solution (VMP)
methylphenidate,12140411000001109,Methylphenidate 6.25mg/5ml oral solution (VMP)
methylphenidate,12320511000001104,Methylphenidate 5mg/5ml oral solution (Drug Tariff Special Order) (AMP)
methylphenidate,12390711000001102,Methylphenidate 5mg/5ml oral solution (VMP)
methylphenidate,15402911000001105,Methylphenidate 15mg/5ml oral solution (Special Order) (AMP)
methylphenidate,15411411000001105,Methylphenidate 15mg/5ml oral solution (VMP)
methylphenidate,15423311000001109,Concerta XL 18mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,15423511000001103,Concerta XL 36mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,15878711000001107,Methylphenidate 54mg modified-release tablets (Special Order) (AMP)
methylphenidate,16518611000001107,Concerta XL 18mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,16518811000001106,Concerta XL 36mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,172011000001102,Equasym 10mg tablets (Shire Pharmaceuticals Ltd) (AMP)
methylphenidate,17437911000001102,Ritalin 10mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,18079411000001104,Methylphenidate 5mg tablets (Kent Pharma (UK) Ltd) (AMP)
methylphenidate,18079611000001101,Methylphenidate 10mg tablets (Kent Pharma (UK) Ltd) (AMP)
methylphenidate,18079811000001102,Methylphenidate 20mg tablets (Kent Pharma (UK) Ltd) (AMP)
methylphenidate,18205611000001103,Equasym XL 10mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,18209411000001103,Equasym XL 20mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,18210111000001100,Equasym XL 30mg capsules (Mawdsley-Brooks & Company Ltd) (AMP)
methylphenidate,18577311000001104,Equasym XL 10mg capsules (DE Pharmaceuticals) (AMP)
methylphenidate,18577511000001105,Equasym XL 20mg capsules (DE Pharmaceuticals) (AMP)
methylphenidate,18577711000001100,Equasym XL 30mg capsules (DE Pharmaceuticals) (AMP)
methylphenidate,18727311000001104,Methylphenidate 20mg tablets (Sigma Pharmaceuticals Plc) (AMP)
methylphenidate,19375811000001104,Medikinet XL 5mg capsules (Medice UK Ltd) (AMP)
methylphenidate,19448911000001107,Methylphenidate 5mg modified-release capsules (VMP)
methylphenidate,20164311000001108,Ritalin 10mg tablets (DE Pharmaceuticals) (AMP)
methylphenidate,20560911000001109,Equasym XL 10mg capsules (Waymade Healthcare Plc) (AMP)
methylphenidate,20561111000001100,Equasym XL 20mg capsules (Waymade Healthcare Plc) (AMP)
methylphenidate,20561311000001103,Equasym XL 30mg capsules (Waymade Healthcare Plc) (AMP)
methylphenidate,205811000001105,Tranquilyn 10mg tablets (Genesis Pharmaceuticals Ltd) (AMP)
methylphenidate,21796711000001101,Methylphenidate 5mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,21796911000001104,Methylphenidate 10mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,21797111000001104,Methylphenidate 20mg tablets (Waymade Healthcare Plc) (AMP)
methylphenidate,22407211000001104,Methylphenidate 5mg tablets (Actavis UK Ltd) (AMP)
methylphenidate,22407911000001108,Methylphenidate 20mg tablets (Actavis UK Ltd) (AMP)
