year,dimension_code,dimension_description,measure_category,measure_sub_category,measure_value
2013-14,F90.0,Disturbance of activity and attention,Gender,Male,170
2013-14,F90.0,Disturbance of activity and attention,Gender,Female,65
2013-14,F90.0,Disturbance of activity and attention,Gender,Unknown,0
2013-14,F90.0,Disturbance of activity and attention,Age,0,1
2013-14,F90.0,Disturbance of activity and attention,Age,1_4,5
2013-14,F90.0,Disturbance of activity and attention,Age,5_9,34
2013-14,F90.0,Disturbance of activity and attention,Age,10_14,44
2013-14,F90.0,Disturbance of activity and attention,Age,15,19
2013-14,F90.0,Disturbance of activity and attention,Age,16,15
2013-14,F90.0,Disturbance of activity and attention,Age,17,24
2013-14,F90.0,Disturbance of activity and attention,Age,18,17
2013-14,F90.0,Disturbance of activity and attention,Age,19,13
2013-14,F90.0,Disturbance of activity and attention,Age,20_24,29
2013-14,F90.0,Disturbance of activity and attention,Age,25_29,14
2013-14,F90.0,Disturbance of activity and attention,Age,30_34,10
2013-14,F90.0,Disturbance of activity and attention,Age,35_39,3
2013-14,F90.0,Disturbance of activity and attention,Age,40_44,3
2013-14,F90.0,Disturbance of activity and attention,Age,45_49,3
2013-14,F90.0,Disturbance of activity and attention,Age,50_54,1
2013-14,F90.0,Disturbance of activity and attention,Age,55_59,0
2013-14,F90.0,Disturbance of activity and attention,Age,60_64,0
2013-14,F90.0,Disturbance of activity and attention,Age,65_69,0
2013-14,F90.0,Disturbance of activity and attention,Age,70_74,0
2013-14,F90.0,Disturbance of activity and attention,Age,75_79,0
2013-14,F90.0,Disturbance of activity and attention,Age,80_84,0
2013-14,F90.0,Disturbance of activity and attention,Age,85_89,0
2013-14,F90.0,Disturbance of activity and attention,Age,90+,0
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Male,7
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Female,6
2013-14,F90.1,Hyperkinetic conduct disorder,Gender,Unknown,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,0,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,1_4,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,5_9,0
2013-14,F90.1,Hyperkinetic conduct disorder,Age,10_14,4
2013-14,F90.1,Hyperkinetic conduct disorder,Age,15,1
2013-14,F90.1,Hyperkinetic conduct disorder,Age,16,5
2013-14,F90.1,Hyperkinetic conduct disorder,Age,17,1
2013-14,F90.1,Hyperkinetic conduct disorder,Age,18,0
