uid,reporting_period,category,code,measure,measure_value
3668,2223,DIAG_3_01,F90,FCE_MALE_SUM,190
5272,2223,DIAG_3_01,F90,FCE_FEMALE_SUM,110
6876,2223,DIAG_3_01,F90,FCE_UNKNOWN_GENDER_SUM,2
19708,2223,DIAG_3_01,F90,AGE_0_SUM,0
21312,2223,DIAG_3_01,F90,AGE_1_4_SUM,7
22916,2223,DIAG_3_01,F90,AGE_5_9_SUM,28
24520,2223,DIAG_3_01,F90,AGE_10_14_SUM,54
26124,2223,DIAG_3_01,F90,AGE_15_SUM,13
27728,2223,DIAG_3_01,F90,AGE_16_SUM,17
29332,2223,DIAG_3_01,F90,AGE_17_SUM,18
30936,2223,DIAG_3_01,F90,AGE_18_SUM,14
32540,2223,DIAG_3_01,F90,AGE_19_SUM,9
34144,2223,DIAG_3_01,F90,AGE_20_24_SUM,39
35748,2223,DIAG_3_01,F90,AGE_25_29_SUM,31
37352,2223,DIAG_3_01,F90,AGE_30_34_SUM,30
38956,2223,DIAG_3_01,F90,AGE_35_39_SUM,7
40560,2223,DIAG_3_01,F90,AGE_40_44_SUM,8
42164,2223,DIAG_3_01,F90,AGE_45_49_SUM,9
43768,2223,DIAG_3_01,F90,AGE_50_54_SUM,5
45372,2223,DIAG_3_01,F90,AGE_55_59_SUM,1
46976,2223,DIAG_3_01,F90,AGE_60_64_SUM,0
48580,2223,DIAG_3_01,F90,AGE_65_69_SUM,0
50184,2223,DIAG_3_01,F90,AGE_70_74_SUM,2
51788,2223,DIAG_3_01,F90,AGE_75_79_SUM,0
53392,2223,DIAG_3_01,F90,AGE_80_84_SUM,0
54996,2223,DIAG_3_01,F90,AGE_85_89_SUM,1
56600,2223,DIAG_3_01,F90,AGE_90_120_SUM,3
167492,2223,DIAG_4_01,F900,FCE_MALE_SUM,174
167493,2223,DIAG_4_01,F901,FCE_MALE_SUM,3
167494,2223,DIAG_4_01,F908,FCE_MALE_SUM,1
167495,2223,DIAG_4_01,F909,FCE_MALE_SUM,12
175554,2223,DIAG_4_01,F900,FCE_FEMALE_SUM,95
175555,2223,DIAG_4_01,F901,FCE_FEMALE_SUM,2
175556,2223,DIAG_4_01,F908,FCE_FEMALE_SUM,1
175557,2223,DIAG_4_01,F909,FCE_FEMALE_SUM,12
183616,2223,DIAG_4_01,F900,FCE_UNKNOWN_GENDER_SUM,2
183617,2223,DIAG_4_01,F901,FCE_UNKNOWN_GENDER_SUM,0
183618,2223,DIAG_4_01,F908,FCE_UNKNOWN_GENDER_SUM,0
183619,2223,DIAG_4_01,F909,FCE_UNKNOWN_GENDER_SUM,0
248112,2223,DIAG_4_01,F900,AGE_0_SUM,0
248113,2223,DIAG_4_01,F901,AGE_0_SUM,0
248114,2223,DIAG_4_01,F908,AGE_0_SUM,0
248115,2223,DIAG_4_01,F909,AGE_0_SUM,0
256174,2223,DIAG_4_01,F900,AGE_1_4_SUM,3
256175,2223,DIAG_4_01,F901,AGE_1_4_SUM,0
256176,2223,DIAG_4_01,F908,AGE_1_4_SUM,0
256177,2223,DIAG_4_01,F909,AGE_1_4_SUM,4
264236,2223,DIAG_4_01,F900,AGE_5_9_SUM,26
264237,2223,DIAG_4_01,F901,AGE_5_9_SUM,0
264238,2223,DIAG_4_01,F908,AGE_5_9_SUM,0
264239,2223,DIAG_4_01,F909,AGE_5_9_SUM,2
272298,2223,DIAG_4_01,F900,AGE_10_14_SUM,52
272299,2223,DIAG_4_01,F901,AGE_10_14_SUM,0
272300,2223,DIAG_4_01,F908,AGE_10_14_SUM,0
272301,2223,DIAG_4_01,F909,AGE_10_14_SUM,2
280360,2223,DIAG_4_01,F900,AGE_15_SUM,13
280361,2223,DIAG_4_01,F901,AGE_15_SUM,0
280362,2223,DIAG_4_01,F908,AGE_15_SUM,0
280363,2223,DIAG_4_01,F909,AGE_15_SUM,0
288422,2223,DIAG_4_01,F900,AGE_16_SUM,16
288423,2223,DIAG_4_01,F901,AGE_16_SUM,0
288424,2223,DIAG_4_01,F908,AGE_16_SUM,0
288425,2223,DIAG_4_01,F909,AGE_16_SUM,1
296484,2223,DIAG_4_01,F900,AGE_17_SUM,16
296485,2223,DIAG_4_01,F901,AGE_17_SUM,2
296486,2223,DIAG_4_01,F908,AGE_17_SUM,0
296487,2223,DIAG_4_01,F909,AGE_17_SUM,0
304546,2223,DIAG_4_01,F900,AGE_18_SUM,12
304547,2223,DIAG_4_01,F901,AGE_18_SUM,0
304548,2223,DIAG_4_01,F908,AGE_18_SUM,0
