uid,code,category,measure,measure_value
18986,F90,DIAG_3_01,FCE_MALE_SUM,211
18987,F90,DIAG_3_01,FCE_FEMALE_SUM,162
18988,F90,DIAG_3_01,FCE_UNKNOWN_GENDER_SUM,2
18996,F90,DIAG_3_01,AGE_0_SUM,0
18997,F90,DIAG_3_01,AGE_1_4_SUM,4
18998,F90,DIAG_3_01,AGE_5_9_SUM,23
18999,F90,DIAG_3_01,AGE_10_14_SUM,68
19000,F90,DIAG_3_01,AGE_15_SUM,16
19001,F90,DIAG_3_01,AGE_16_SUM,17
19002,F90,DIAG_3_01,AGE_17_SUM,20
19003,F90,DIAG_3_01,AGE_18_SUM,25
19004,F90,DIAG_3_01,AGE_19_SUM,15
19005,F90,DIAG_3_01,AGE_20_24_SUM,62
19006,F90,DIAG_3_01,AGE_25_29_SUM,29
19007,F90,DIAG_3_01,AGE_30_34_SUM,32
19008,F90,DIAG_3_01,AGE_35_39_SUM,26
19009,F90,DIAG_3_01,AGE_40_44_SUM,15
19010,F90,DIAG_3_01,AGE_45_49_SUM,5
19011,F90,DIAG_3_01,AGE_50_54_SUM,4
19012,F90,DIAG_3_01,AGE_55_59_SUM,0
19013,F90,DIAG_3_01,AGE_60_64_SUM,0
19014,F90,DIAG_3_01,AGE_65_69_SUM,1
19015,F90,DIAG_3_01,AGE_70_74_SUM,1
19016,F90,DIAG_3_01,AGE_75_79_SUM,0
19017,F90,DIAG_3_01,AGE_80_84_SUM,1
19018,F90,DIAG_3_01,AGE_85_89_SUM,0
19019,F90,DIAG_3_01,AGE_90_120_SUM,7
151006,F900,DIAG_4_01,FCE_MALE_SUM,194
151007,F900,DIAG_4_01,FCE_FEMALE_SUM,145
151008,F900,DIAG_4_01,FCE_UNKNOWN_GENDER_SUM,2
151016,F900,DIAG_4_01,AGE_0_SUM,0
151017,F900,DIAG_4_01,AGE_1_4_SUM,1
151018,F900,DIAG_4_01,AGE_5_9_SUM,22
151019,F900,DIAG_4_01,AGE_10_14_SUM,62
151020,F900,DIAG_4_01,AGE_15_SUM,15
151021,F900,DIAG_4_01,AGE_16_SUM,16
151022,F900,DIAG_4_01,AGE_17_SUM,19
151023,F900,DIAG_4_01,AGE_18_SUM,24
151024,F900,DIAG_4_01,AGE_19_SUM,13
151025,F900,DIAG_4_01,AGE_20_24_SUM,58
151026,F900,DIAG_4_01,AGE_25_29_SUM,28
151027,F900,DIAG_4_01,AGE_30_34_SUM,30
151028,F900,DIAG_4_01,AGE_35_39_SUM,26
151029,F900,DIAG_4_01,AGE_40_44_SUM,14
151030,F900,DIAG_4_01,AGE_45_49_SUM,5
151031,F900,DIAG_4_01,AGE_50_54_SUM,4
151032,F900,DIAG_4_01,AGE_55_59_SUM,0
151033,F900,DIAG_4_01,AGE_60_64_SUM,0
151034,F900,DIAG_4_01,AGE_65_69_SUM,0
151035,F900,DIAG_4_01,AGE_70_74_SUM,0
