uid,code,category,attribute,value
24399,F90,DIAG_3_01,FCE_Male_Sum,206
24400,F90,DIAG_3_01,FCE_Female_Sum,107
24401,F90,DIAG_3_01,FCE_UNKNOWN_GENDER_Sum,4
24411,F90,DIAG_3_01,Age_0_Sum,0
24412,F90,DIAG_3_01,Age_1_4_Sum,8
24413,F90,DIAG_3_01,Age_5_9_Sum,28
24414,F90,DIAG_3_01,Age_10_14_Sum,51
24415,F90,DIAG_3_01,Age_15_Sum,13
24416,F90,DIAG_3_01,Age_16_Sum,12
24417,F90,DIAG_3_01,Age_17_Sum,12
24418,F90,DIAG_3_01,Age_18_Sum,17
24419,F90,DIAG_3_01,Age_19_Sum,7
24420,F90,DIAG_3_01,Age_20_24_Sum,64
24421,F90,DIAG_3_01,Age_25_29_Sum,44
24422,F90,DIAG_3_01,Age_30_34_Sum,23
24423,F90,DIAG_3_01,Age_35_39_Sum,11
24424,F90,DIAG_3_01,Age_40_44_Sum,5
24425,F90,DIAG_3_01,Age_45_49_Sum,3
24426,F90,DIAG_3_01,Age_50_54_Sum,4
24427,F90,DIAG_3_01,Age_55_59_Sum,3
24428,F90,DIAG_3_01,Age_60_64_Sum,0
24429,F90,DIAG_3_01,Age_65_69_Sum,3
24430,F90,DIAG_3_01,Age_70_74_Sum,1
24431,F90,DIAG_3_01,Age_75_79_Sum,1
24432,F90,DIAG_3_01,Age_80_84_Sum,0
24433,F90,DIAG_3_01,Age_85_89_Sum,1
24434,F90,DIAG_3_01,Age_90_120_Sum,0
193267,F90.0,DIAG_4_01,FCE_Male_Sum,191
193268,F90.0,DIAG_4_01,FCE_Female_Sum,94
193269,F90.0,DIAG_4_01,FCE_UNKNOWN_GENDER_Sum,2
193279,F90.0,DIAG_4_01,Age_0_Sum,0
193280,F90.0,DIAG_4_01,Age_1_4_Sum,3
193281,F90.0,DIAG_4_01,Age_5_9_Sum,26
193282,F90.0,DIAG_4_01,Age_10_14_Sum,49
193283,F90.0,DIAG_4_01,Age_15_Sum,13
193284,F90.0,DIAG_4_01,Age_16_Sum,11
193285,F90.0,DIAG_4_01,Age_17_Sum,11
193286,F90.0,DIAG_4_01,Age_18_Sum,16
193287,F90.0,DIAG_4_01,Age_19_Sum,7
193288,F90.0,DIAG_4_01,Age_20_24_Sum,61
193289,F90.0,DIAG_4_01,Age_25_29_Sum,41
193290,F90.0,DIAG_4_01,Age_30_34_Sum,20
193291,F90.0,DIAG_4_01,Age_35_39_Sum,7
193292,F90.0,DIAG_4_01,Age_40_44_Sum,5
193293,F90.0,DIAG_4_01,Age_45_49_Sum,3
193294,F90.0,DIAG_4_01,Age_50_54_Sum,3
193295,F90.0,DIAG_4_01,Age_55_59_Sum,3
193296,F90.0,DIAG_4_01,Age_60_64_Sum,0
193297,F90.0,DIAG_4_01,Age_65_69_Sum,0
193298,F90.0,DIAG_4_01,Age_70_74_Sum,0
193299,F90.0,DIAG_4_01,Age_75_79_Sum,1
193300,F90.0,DIAG_4_01,Age_80_84_Sum,0
193301,F90.0,DIAG_4_01,Age_85_89_Sum,1
193302,F90.0,DIAG_4_01,Age_90_120_Sum,0
193320,F90.1,DIAG_4_01,FCE_Male_Sum,3
193321,F90.1,DIAG_4_01,FCE_Female_Sum,1
193322,F90.1,DIAG_4_01,FCE_UNKNOWN_GENDER_Sum,0
193330,F90.1,DIAG_4_01,Age_0_Sum,0
193331,F90.1,DIAG_4_01,Age_1_4_Sum,0
193332,F90.1,DIAG_4_01,Age_5_9_Sum,0
193333,F90.1,DIAG_4_01,Age_10_14_Sum,1
193334,F90.1,DIAG_4_01,Age_15_Sum,0
193335,F90.1,DIAG_4_01,Age_16_Sum,0
193336,F90.1,DIAG_4_01,Age_17_Sum,0
193337,F90.1,DIAG_4_01,Age_18_Sum,0
193338,F90.1,DIAG_4_01,Age_19_Sum,0
193339,F90.1,DIAG_4_01,Age_20_24_Sum,1
193340,F90.1,DIAG_4_01,Age_25_29_Sum,0
193341,F90.1,DIAG_4_01,Age_30_34_Sum,1
193342,F90.1,DIAG_4_01,Age_35_39_Sum,0
193343,F90.1,DIAG_4_01,Age_40_44_Sum,0
193344,F90.1,DIAG_4_01,Age_45_49_Sum,0
193345,F90.1,DIAG_4_01,Age_50_54_Sum,1
193346,F90.1,DIAG_4_01,Age_55_59_Sum,0
193347,F90.1,DIAG_4_01,Age_60_64_Sum,0
193348,F90.1,DIAG_4_01,Age_65_69_Sum,0
193349,F90.1,DIAG_4_01,Age_70_74_Sum,0
193350,F90.1,DIAG_4_01,Age_75_79_Sum,0
193351,F90.1,DIAG_4_01,Age_80_84_Sum,0
193352,F90.1,DIAG_4_01,Age_85_89_Sum,0
193353,F90.1,DIAG_4_01,Age_90_120_Sum,0
193371,F90.8,DIAG_4_01,FCE_Male_Sum,1
