"coef","holm_pvals","est","lci","uci","dataset","bnf_chemical"
"month_number",0,"1.76%","1.41%","2.11%","FOI","All chemicals"
"U1.month_number",0.098,"18.3%","2.23%","36.89%","FOI","All chemicals"
"U2.month_number",0.163,"-13.34%","-25.11%","0.28%","FOI","All chemicals"
"month_number",0,"0.54%","0.48%","0.59%","GP","All chemicals"
"month_factorFeb",0,"-7.92%","-9.5%","-6.32%","GP","All chemicals"
"month_factorApr",0.049,"-3.22%","-5.35%","-1.04%","GP","All chemicals"
"month_factorAug",0,"-8.46%","-10.81%","-6.05%","GP","All chemicals"
"U1.month_number",0,"0.25%","0.15%","0.36%","GP","All chemicals"
"U2.month_number",0,"0.4%","0.3%","0.51%","GP","All chemicals"
"month_number",0,"1231.7","927.41","1535.98","SCMD","All chemicals"
"U1.month_number",0,"-18177.59","-25661.99","-10693.2","SCMD","All chemicals"
"U2.month_number",0,"19504.83","12048.74","26960.93","SCMD","All chemicals"
"U3.month_number",0,"-6979.85","-8435.68","-5524.03","SCMD","All chemicals"
