"month_number","month","pred","lci","uci","bnf_chemical","data_source"
0,2015-08-01,1230.80247854626,1095.5318878383,1382.77557961802,"All chemicals","FOI"
1,2015-09-01,1252.42993525065,1118.04459431803,1402.96795913468,"All chemicals","FOI"
2,2015-10-01,1274.43742603173,1140.98850621676,1423.49440333611,"All chemicals","FOI"
3,2015-11-01,1296.83162878515,1164.36861169962,1444.36414424008,"All chemicals","FOI"
4,2015-12-01,1319.61933874945,1188.18954670695,1465.58703872441,"All chemicals","FOI"
5,2016-01-01,1342.80747056798,1212.45553192423,1487.17363691805,"All chemicals","FOI"
6,2016-02-01,1366.40306038704,1237.1703019155,1509.13525853662,"All chemicals","FOI"
7,2016-03-01,1390.41326799094,1262.33702578203,1531.48407780211,"All chemicals","FOI"
8,2016-04-01,1414.84537897452,1287.95821880004,1554.23321749566,"All chemicals","FOI"
9,2016-05-01,1439.70680695389,1314.03564465958,1577.39685252324,"All chemicals","FOI"
10,2016-06-01,1465.00509581598,1340.5702082023,1600.99032309907,"All chemicals","FOI"
11,2016-07-01,1490.74792200765,1367.5618389742,1625.03025723289,"All chemicals","FOI"
12,2016-08-01,1516.94309686502,1395.00936651551,1649.53470160148,"All chemicals","FOI"
13,2016-09-01,1543.59856898371,1422.91038915303,1674.52325904151,"All chemicals","FOI"
14,2016-10-01,1570.72242663072,1451.26113919209,1700.01722976897,"All chemicals","FOI"
15,2016-11-01,1598.32290019877,1480.05634887061,1726.03975196563,"All chemicals","FOI"
16,2016-12-01,1626.40836470363,1509.28912326109,1752.61593554886,"All chemicals","FOI"
17,2017-01-01,1654.9873423255,1538.95082847131,1779.77298077701,"All chemicals","FOI"
18,2017-02-01,1684.06850499489,1569.03100591213,1807.54027092473,"All chemicals","FOI"
19,2017-03-01,1713.66067702403,1599.51732587506,1835.94942578811,"All chemicals","FOI"
20,2017-04-01,1743.77283778451,1630.39559585088,1865.03430059141,"All chemicals","FOI"
21,2017-05-01,1774.41412443194,1661.64984040903,1894.83091347846,"All chemicals","FOI"
22,2017-06-01,1805.59383467852,1693.2624693644,1925.37728486527,"All chemicals","FOI"
23,2017-07-01,1837.32142961429,1725.21454860402,1956.71317428399,"All chemicals","FOI"
24,2017-08-01,1869.606536578,1757.48618260837,1988.87970568704,"All chemicals","FOI"
25,2017-09-01,1902.4589520784,1790.05700896463,2021.91888091691,"All chemicals","FOI"
26,2017-10-01,1935.88864476685,1822.90679324448,2055.87299297239,"All chemicals","FOI"
27,2017-11-01,1969.90575846222,1856.01609862412,2090.78396469689,"All chemicals","FOI"
28,2017-12-01,2004.52061522886,1889.36699068222,2126.69265245637,"All chemicals","FOI"
29,2018-01-01,2039.74371850873,1922.94372680633,2163.63816537979,"All chemicals","FOI"
30,2018-02-01,2075.58575630852,1956.73337455358,2201.65725581989,"All chemicals","FOI"
31,2018-03-01,2112.05760444282,1990.72630629844,2240.78383370496,"All chemicals","FOI"
32,2018-04-01,2149.17032983418,2024.91652898738,2281.04864596538,"All chemicals","FOI"
33,2018-05-01,2186.93519387133,2059.30182609941,2322.47914393981,"All chemicals","FOI"
34,2018-06-01,2225.36365582622,2093.88371047636,2365.09954010083,"All chemicals","FOI"
35,2018-07-01,2264.46737633123,2128.66720724772,2408.93103487909,"All chemicals","FOI"
36,2018-08-01,2304.25822091743,2163.66050185444,2453.99217858568,"All chemicals","FOI"
37,2018-09-01,2344.74826361505,2198.87449692892,2500.29932467923,"All chemicals","FOI"
38,2018-10-01,2385.94979061714,2234.32232319057,2547.8671292228,"All chemicals","FOI"
39,2018-11-01,2427.87530400773,2270.01884486199,2596.70905602944,"All chemicals","FOI"
40,2018-12-01,2470.53752555538,2305.98019160529,2646.83785550141,"All chemicals","FOI"
41,2019-01-01,2513.94940057343,2342.22333895253,2698.26599519321,"All chemicals","FOI"
42,2019-02-01,2558.12410184816,2378.76574955541,2751.00602977805,"All chemicals","FOI"
43,2019-03-01,2603.07503363582,2415.6250795076,2805.07090616867,"All chemicals","FOI"
44,2019-04-01,2648.81583573006,2452.81894801968,2860.47420551729,"All chemicals","FOI"
45,2019-05-01,2695.3603876007,2490.36476485114,2917.23032769508,"All chemicals","FOI"
46,2019-06-01,2742.72281260529,2528.27960782093,2975.35462593433,"All chemicals","FOI"
47,2019-07-01,2790.91748227469,2566.58014199166,3034.86350004333,"All chemicals","FOI"
48,2019-08-01,2839.9590206739,2605.2825723169,3095.77445640932,"All chemicals","FOI"
49,2019-09-01,2889.86230883957,2644.40262228525,3158.10614226153,"All chemicals","FOI"
50,2019-10-01,2940.64248929545,2683.95553210609,3221.87836065383,"All chemicals","FOI"
51,2019-11-01,2992.31497064721,2723.95607107035,3287.11207153978,"All chemicals","FOI"
52,2019-12-01,3044.89543225796,2764.41855976222,3353.82938326925,"All chemicals","FOI"
53,2020-01-01,3098.399829006,2805.35689873271,3422.05353790142,"All chemicals","FOI"
54,2020-02-01,3152.84439612608,2846.78460104372,3491.80889293106,"All chemicals","FOI"
55,2020-03-01,3208.24565413581,2888.71482675046,3563.1209013663,"All chemicals","FOI"
56,2020-04-01,3264.62041384859,2931.16041791798,3636.01609156799,"All chemicals","FOI"
57,2020-05-01,3321.98578147461,2974.13393318195,3710.52204784631,"All chemicals","FOI"
58,2020-06-01,3380.35916381161,3017.64768118277,3786.66739249241,"All chemicals","FOI"
59,2020-07-01,3439.75827352662,3061.71375244138,3864.48176968214,"All chemicals","FOI"
60,2020-08-01,3500.59526653851,2457.82935262156,4985.76811569174,"All chemicals","FOI"
61,2020-09-01,4214.00050052934,3281.63238407053,5411.27041062254,"All chemicals","FOI"
62,2020-10-01,5072.79444390636,4135.91815306695,6221.89378942254,"All chemicals","FOI"
63,2020-11-01,6106.60664774358,4755.49021161682,7841.59846637296,"All chemicals","FOI"
64,2020-12-01,7351.10502950915,5161.33981224212,10469.9064817823,"All chemicals","FOI"
65,2021-01-01,7798.69526196819,6906.68637528322,8805.90843196513,"All chemicals","FOI"
66,2021-02-01,8135.62327169723,7229.08629898124,9155.84117847773,"All chemicals","FOI"
67,2021-03-01,8487.10762449736,7566.27389771029,9520.0090300193,"All chemicals","FOI"
68,2021-04-01,8853.77719988431,7918.89079586247,9899.03418622072,"All chemicals","FOI"
69,2021-05-01,9236.28804693446,8287.60076712981,10293.5722029826,"All chemicals","FOI"
70,2021-06-01,9635.32455809471,8673.08952112096,10704.3146636199,"All chemicals","FOI"
71,2021-07-01,10051.6006937047,9076.06428457896,11131.9921650789,"All chemicals","FOI"
72,2021-08-01,10485.8612594223,9497.25314220732,11577.3776591468,"All chemicals","FOI"
73,2021-09-01,10938.8832388374,9937.40410021857,12041.2901906933,"All chemicals","FOI"
74,2021-10-01,11411.4771836596,10397.2838355254,12524.5990754088,"All chemicals","FOI"
75,2021-11-01,11904.4886639657,10877.6760960684,13028.228557174,"All chemicals","FOI"
76,2021-12-01,12418.7997811025,11379.3797245659,13553.1629786609,"All chemicals","FOI"
77,2022-01-01,12955.3307459519,11903.2062908719,14100.4524861268,"All chemicals","FOI"
78,2022-02-01,13515.0415253821,12449.9773394655,14671.219268311,"All chemicals","FOI"
79,2022-03-01,14098.9335598303,13020.5212909927,15266.6642972291,"All chemicals","FOI"
80,2022-04-01,14708.0515550906,13615.6700828816,15888.0744928728,"All chemicals","FOI"
81,2022-05-01,15343.4853515123,14236.2556957779,16536.8301724092,"All chemicals","FOI"
82,2022-06-01,16006.3718739544,14883.1067900871,17214.4125672716,"All chemicals","FOI"
83,2022-07-01,16697.897165983,15557.0457671107,17922.4111016759,"All chemicals","FOI"
84,2022-08-01,17419.2985119532,16258.8866636266,18662.5300321057,"All chemicals","FOI"
85,2022-09-01,18171.8666507712,16989.4343716997,19436.5939647451,"All chemicals","FOI"
86,2022-10-01,18956.9480852983,17749.4857234954,20246.551720256,"All chemicals","FOI"
87,2022-11-01,19775.9474915279,18539.8329643413,21094.4780322385,"All chemicals","FOI"
88,2022-12-01,20630.330231846,19361.2700264486,21982.5726769788,"All chemicals","FOI"
89,2023-01-01,21521.6249768742,20214.601791382,22913.1568568757,"All chemicals","FOI"
90,2023-02-01,22451.4264405826,21100.6561962605,23888.6669935043,"All chemicals","FOI"
91,2023-03-01,23421.3982335687,22020.2986370355,24911.6464884267,"All chemicals","FOI"
92,2023-04-01,24433.2758396076,22974.4477286651,25984.7364038918,"All chemicals","FOI"
93,2023-05-01,25488.8697207977,23964.0911945224,27110.6663036026,"All chemicals","FOI"
94,2023-06-01,26590.0685568584,24990.30056456,28292.2465871062,"All chemicals","FOI"
95,2023-07-01,27738.8426243759,26054.2435066181,29532.363507098,"All chemicals","FOI"
96,2023-08-01,28937.2473220432,27157.1929740306,30833.9777007821,"All chemicals","FOI"
97,2023-09-01,30187.4268482006,28300.5328381194,32200.1265816456,"All chemicals","FOI"
98,2023-10-01,31491.6180372584,29485.7601680935,33633.9304447616,"All chemicals","FOI"
99,2023-11-01,32852.1543618644,30714.4847156454,35138.6017446683,"All chemicals","FOI"
100,2023-12-01,34271.4701079781,31988.4263938151,36717.4567733389,"All chemicals","FOI"
101,2024-01-01,35752.1047303208,33309.4116002369,38373.9289059893,"All chemicals","FOI"
102,2024-02-01,37296.7073959943,34679.3691577594,40111.5826604123,"All chemicals","FOI"
103,2024-03-01,38908.0417243993,36100.3264852066,41934.1279765973,"All chemicals","FOI"
104,2024-04-01,40588.9907319323,37574.4064217597,43845.4343135764,"All chemicals","FOI"
105,2024-05-01,42342.5619903083,39103.8249503349,45849.544339466,"All chemicals","FOI"
106,2024-06-01,44171.8930077408,40690.889921048,47950.6871359438,"All chemicals","FOI"
107,2024-07-01,46080.2568426046,42338.0007727957,50153.290942467,"All chemicals","FOI"
108,2024-08-01,48071.0679596251,44047.6491867107,52461.9955308779,"All chemicals","FOI"
109,2024-09-01,50147.8883390765,45822.4205719598,54881.6643354581,"All chemicals","FOI"
110,2024-10-01,52314.4338499131,47664.9962733368,57417.3964756579,"All chemicals","FOI"
111,2024-11-01,54574.5808982418,49578.156393558,60074.5388064842,"All chemicals","FOI"
112,2024-12-01,56932.3733630292,51564.7831340081,62858.6981220066,"All chemicals","FOI"
113,2025-01-01,59392.0298314519,53627.8645728086,65775.7536235855,"All chemicals","FOI"
114,2025-02-01,61957.951146837,55770.4988142142,68831.8697507408,"All chemicals","FOI"
115,2025-03-01,64634.7282826994,57995.8984580121,72033.5094593441,"All chemicals","FOI"
116,2025-04-01,67427.150556957,60307.3953502847,75387.4480206527,"All chemicals","FOI"
117,2025-05-01,70340.2142010316,62708.4455878039,78900.7874054096,"All chemicals","FOI"
118,2025-06-01,73379.1312991576,65202.6347571146,82580.9713100816,"All chemicals","FOI"
119,2025-07-01,76549.3391138979,67793.6833964113,86435.8008770583,"All chemicals","FOI"
0,2015-08-01,81696.2010098913,80176.1774451824,83245.0420077941,"All chemicals","GP"
1,2015-09-01,82231.4314791612,80751.0854827928,83738.9154917663,"All chemicals","GP"
2,2015-10-01,82770.1684964938,81329.4878015311,84236.3695890509,"All chemicals","GP"
3,2015-11-01,83312.4350349428,81911.3325230883,84737.5035621,"All chemicals","GP"
4,2015-12-01,83858.2542180713,82496.5568907016,85242.4278727114,"All chemicals","GP"
5,2016-01-01,84407.6493209355,83085.0856563525,85751.2657970195,"All chemicals","GP"
6,2016-02-01,84960.6437710776,83676.8292643289,86264.1552441457,"All chemicals","GP"
7,2016-03-01,85517.2611495246,84271.6818315956,86781.250778053,"All chemicals","GP"
8,2016-04-01,86077.5251917944,84869.5189426145,87302.7258249681,"All chemicals","GP"
9,2016-05-01,86641.4597889071,85470.1953033656,87828.7750216152,"All chemicals","GP"
10,2016-06-01,87209.0889884043,86073.5423399049,88359.6166189321,"All chemicals","GP"
11,2016-07-01,87780.4369953741,86679.3658845732,88895.4947981479,"All chemicals","GP"
12,2016-08-01,88355.5281734843,87287.4441710112,89436.681678074,"All chemicals","GP"
13,2016-09-01,88934.3870460201,87897.526457742,89983.4786938382,"All chemicals","GP"
14,2016-10-01,89517.0382969304,88509.3327138248,90536.2169135692,"All chemicals","GP"
15,2016-11-01,90103.5067718804,89122.5549129928,91095.2557466091,"All chemicals","GP"
16,2016-12-01,90693.8174793108,89736.8605634592,91660.9794160763,"All chemicals","GP"
17,2017-01-01,91287.995591505,90351.8990993011,92233.7905698663,"All chemicals","GP"
18,2017-02-01,91886.0664456613,90967.3116118234,92814.1005516877,"All chemicals","GP"
19,2017-03-01,92488.0555449743,91582.744044588,93402.3162084511,"All chemicals","GP"
20,2017-04-01,93093.9885597219,92197.8633912868,93998.8236948305,"All chemicals","GP"
21,2017-05-01,93703.8913283606,92812.3756825215,94603.970488935,"All chemicals","GP"
22,2017-06-01,94317.7898586263,93426.0438012993,95218.0475792797,"All chemicals","GP"
23,2017-07-01,94935.7103286441,94038.7026948015,95841.2742555034,"All chemicals","GP"
24,2017-08-01,95557.6790880443,94650.2696116104,96473.7878736433,"All chemicals","GP"
25,2017-09-01,96183.7226590864,95260.7476964717,97115.6402638933,"All chemicals","GP"
26,2017-10-01,96813.8677377895,95870.2224717072,97766.8012517264,"All chemicals","GP"
27,2017-11-01,97448.1411950709,96478.8520560246,98427.1684416409,"All chemicals","GP"
28,2017-12-01,98086.5700778923,97086.8529950885,99096.5813891608,"All chemicals","GP"
29,2018-01-01,98729.1816104123,97694.4840298924,99774.8378350538,"All chemicals","GP"
30,2018-02-01,99376.0031951485,98302.0299858009,100461.709818898,"All chemicals","GP"
31,2018-03-01,100027.062414145,98909.7874115772,101156.95804268,"All chemicals","GP"
32,2018-04-01,100682.387030149,99518.052894524,101860.343558294,"All chemicals","GP"
33,2018-05-01,101342.004987794,100127.114340533,102571.636490163,"All chemicals","GP"
34,2018-06-01,102005.944414794,100737.245050578,103290.621961418,"All chemicals","GP"
35,2018-07-01,102674.233623138,101348.700168063,104017.103649256,"All chemicals","GP"
36,2018-08-01,103346.901110303,101961.714977863,104750.90548861,"All chemicals","GP"
37,2018-09-01,104023.975560464,102576.504552025,105491.872029192,"All chemicals","GP"
38,2018-10-01,104705.485845722,103193.264307867,106239.867880145,"All chemicals","GP"
39,2018-11-01,105391.461027331,103812.171134827,106994.776585971,"All chemicals","GP"
40,2018-12-01,106081.93035694,104433.3848349,107756.499188887,"All chemicals","GP"
41,2019-01-01,106776.923277838,105057.049697406,108524.95265687,"All chemicals","GP"
42,2019-02-01,107476.469426214,105683.296088742,109300.068296738,"All chemicals","GP"
43,2019-03-01,108180.598632414,106312.241982472,110081.790226914,"All chemicals","GP"
44,2019-04-01,108889.340922219,106943.994386891,110870.073952733,"All chemicals","GP"
45,2019-05-01,109602.726518122,107578.650648929,111664.885065426,"All chemicals","GP"
