month,bnf_chemical_name,monthly_items
2015-08-01,All chemicals,849
2015-08-01,Dexamfetamine,224
2015-08-01,Lisdexamfetamine,186
2015-08-01,Methylphenidate,439
2015-09-01,All chemicals,1126
2015-09-01,Dexamfetamine,245
2015-09-01,Lisdexamfetamine,247
2015-09-01,Methylphenidate,634
2015-10-01,All chemicals,1145
2015-10-01,Dexamfetamine,348
2015-10-01,Lisdexamfetamine,280
2015-10-01,Methylphenidate,517
2015-11-01,All chemicals,1566
2015-11-01,Dexamfetamine,353
2015-11-01,Lisdexamfetamine,471
2015-11-01,Methylphenidate,742
2015-12-01,All chemicals,1537
2015-12-01,Atomoxetine,1
2015-12-01,Dexamfetamine,303
2015-12-01,Lisdexamfetamine,406
2015-12-01,Methylphenidate,827
2016-01-01,All chemicals,1300
2016-01-01,Dexamfetamine,330
2016-01-01,Lisdexamfetamine,288
2016-01-01,Methylphenidate,682
2016-02-01,All chemicals,1627
2016-02-01,Dexamfetamine,695
2016-02-01,Lisdexamfetamine,289
2016-02-01,Methylphenidate,643
2016-03-01,All chemicals,1328
2016-03-01,Atomoxetine,2
2016-03-01,Dexamfetamine,274
2016-03-01,Lisdexamfetamine,342
2016-03-01,Methylphenidate,710
2016-04-01,All chemicals,1426
2016-04-01,Dexamfetamine,333
2016-04-01,Lisdexamfetamine,363
2016-04-01,Methylphenidate,730
2016-05-01,All chemicals,1499
2016-05-01,Dexamfetamine,311
2016-05-01,Lisdexamfetamine,464
2016-05-01,Methylphenidate,724
2016-06-01,All chemicals,1712
2016-06-01,Atomoxetine,1
2016-06-01,Dexamfetamine,363
2016-06-01,Guanfacine,1
2016-06-01,Lisdexamfetamine,540
2016-06-01,Methylphenidate,807
2016-07-01,All chemicals,1317
2016-07-01,Dexamfetamine,258
2016-07-01,Lisdexamfetamine,445
2016-07-01,Methylphenidate,614
2016-08-01,All chemicals,1104
2016-08-01,Dexamfetamine,285
2016-08-01,Lisdexamfetamine,306
2016-08-01,Methylphenidate,513
2016-09-01,All chemicals,1745
2016-09-01,Atomoxetine,2
2016-09-01,Dexamfetamine,385
2016-09-01,Lisdexamfetamine,466
2016-09-01,Methylphenidate,892
2016-10-01,All chemicals,1417
2016-10-01,Dexamfetamine,245
2016-10-01,Lisdexamfetamine,473
2016-10-01,Methylphenidate,699
2016-11-01,All chemicals,1815
2016-11-01,Atomoxetine,1
2016-11-01,Dexamfetamine,617
2016-11-01,Lisdexamfetamine,508
2016-11-01,Methylphenidate,689
2016-12-01,All chemicals,1490
2016-12-01,Dexamfetamine,295
2016-12-01,Lisdexamfetamine,471
2016-12-01,Methylphenidate,724
2017-01-01,All chemicals,1687
2017-01-01,Dexamfetamine,348
2017-01-01,Lisdexamfetamine,508
2017-01-01,Methylphenidate,831
2017-02-01,All chemicals,1445
2017-02-01,Dexamfetamine,263
2017-02-01,Lisdexamfetamine,397
2017-02-01,Methylphenidate,785
2017-03-01,All chemicals,1778
2017-03-01,Atomoxetine,1
2017-03-01,Dexamfetamine,318
2017-03-01,Lisdexamfetamine,559
2017-03-01,Methylphenidate,900
2017-04-01,All chemicals,1958
2017-04-01,Dexamfetamine,394
2017-04-01,Lisdexamfetamine,590
2017-04-01,Methylphenidate,974
2017-05-01,All chemicals,1746
2017-05-01,Dexamfetamine,245
2017-05-01,Lisdexamfetamine,510
2017-05-01,Methylphenidate,991
2017-06-01,All chemicals,1746
2017-06-01,Atomoxetine,3
2017-06-01,Dexamfetamine,292
2017-06-01,Lisdexamfetamine,500
2017-06-01,Methylphenidate,951
2017-07-01,All chemicals,2002
2017-07-01,Atomoxetine,1
2017-07-01,Dexamfetamine,370
2017-07-01,Guanfacine,3
2017-07-01,Lisdexamfetamine,762
2017-07-01,Methylphenidate,866
2017-08-01,All chemicals,1460
2017-08-01,Dexamfetamine,235
2017-08-01,Lisdexamfetamine,506
2017-08-01,Methylphenidate,719
2017-09-01,All chemicals,1882
2017-09-01,Dexamfetamine,289
2017-09-01,Guanfacine,1
2017-09-01,Lisdexamfetamine,617
2017-09-01,Methylphenidate,975
2017-10-01,All chemicals,1753
2017-10-01,Atomoxetine,3
2017-10-01,Dexamfetamine,235
2017-10-01,Lisdexamfetamine,626
2017-10-01,Methylphenidate,889
2017-11-01,All chemicals,1715
2017-11-01,Atomoxetine,1
2017-11-01,Dexamfetamine,230
2017-11-01,Lisdexamfetamine,624
2017-11-01,Methylphenidate,860
2017-12-01,All chemicals,1700
2017-12-01,Atomoxetine,3
2017-12-01,Dexamfetamine,222
2017-12-01,Lisdexamfetamine,546
2017-12-01,Methylphenidate,929
2018-01-01,All chemicals,2225
2018-01-01,Dexamfetamine,350
2018-01-01,Lisdexamfetamine,752
2018-01-01,Methylphenidate,1123
2018-02-01,All chemicals,1710
2018-02-01,Dexamfetamine,200
2018-02-01,Lisdexamfetamine,487
2018-02-01,Methylphenidate,1023
2018-03-01,All chemicals,1974
2018-03-01,Atomoxetine,5
2018-03-01,Dexamfetamine,258
2018-03-01,Lisdexamfetamine,658
2018-03-01,Methylphenidate,1053
2018-04-01,All chemicals,1920
2018-04-01,Atomoxetine,1
2018-04-01,Dexamfetamine,206
2018-04-01,Lisdexamfetamine,587
2018-04-01,Methylphenidate,1126
2018-05-01,All chemicals,2766
2018-05-01,Atomoxetine,1
2018-05-01,Dexamfetamine,402
2018-05-01,Guanfacine,2
2018-05-01,Lisdexamfetamine,1047
2018-05-01,Methylphenidate,1314
2018-06-01,All chemicals,2245
2018-06-01,Dexamfetamine,239
2018-06-01,Guanfacine,1
2018-06-01,Lisdexamfetamine,783
2018-06-01,Methylphenidate,1222
2018-07-01,All chemicals,2264
2018-07-01,Atomoxetine,4
2018-07-01,Dexamfetamine,345
2018-07-01,Lisdexamfetamine,912
2018-07-01,Methylphenidate,1003
2018-08-01,All chemicals,1403
2018-08-01,Atomoxetine,3
2018-08-01,Dexamfetamine,213
2018-08-01,Guanfacine,1
2018-08-01,Lisdexamfetamine,546
2018-08-01,Methylphenidate,640
2018-09-01,All chemicals,1861
2018-09-01,Atomoxetine,2
2018-09-01,Dexamfetamine,215
2018-09-01,Lisdexamfetamine,590
2018-09-01,Methylphenidate,1054
2018-10-01,All chemicals,2876
2018-10-01,Dexamfetamine,393
2018-10-01,Lisdexamfetamine,1078
2018-10-01,Methylphenidate,1405
2018-11-01,All chemicals,1240
2018-11-01,Atomoxetine,5
2018-11-01,Dexamfetamine,218
2018-11-01,Lisdexamfetamine,477
2018-11-01,Methylphenidate,540
2018-12-01,All chemicals,3067
2018-12-01,Atomoxetine,4
2018-12-01,Dexamfetamine,347
2018-12-01,Guanfacine,1
2018-12-01,Lisdexamfetamine,1124
2018-12-01,Methylphenidate,1591
2019-01-01,All chemicals,3257
2019-01-01,Atomoxetine,1
2019-01-01,Dexamfetamine,401
2019-01-01,Guanfacine,1
2019-01-01,Lisdexamfetamine,1210
2019-01-01,Methylphenidate,1644
