estimate_year,source_workbook,icb_name,population
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",864801
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",872524
2011,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1281139
2011,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1141679
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",894582
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1615032
2011,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,825239
2011,ons_pop_estimates_2011-2022.xlsx,NHS Cheshire and Merseyside Integrated Care Board,2409463
2011,ons_pop_estimates_2011-2022.xlsx,NHS Cornwall and the Isles of Scilly Integrated Care Board,535984
2011,ons_pop_estimates_2011-2022.xlsx,NHS Coventry and Warwickshire Integrated Care Board,863469
2011,ons_pop_estimates_2011-2022.xlsx,NHS Derby and Derbyshire Integrated Care Board,1019631
2011,ons_pop_estimates_2011-2022.xlsx,NHS Devon Integrated Care Board,1135491
2011,ons_pop_estimates_2011-2022.xlsx,NHS Dorset Integrated Care Board,745338
2011,ons_pop_estimates_2011-2022.xlsx,NHS Frimley Integrated Care Board,709330
2011,ons_pop_estimates_2011-2022.xlsx,NHS Gloucestershire Integrated Care Board,598289
2011,ons_pop_estimates_2011-2022.xlsx,NHS Greater Manchester Integrated Care Board,2685386
2011,ons_pop_estimates_2011-2022.xlsx,NHS Hampshire and Isle of Wight Integrated Care Board,1738499
2011,ons_pop_estimates_2011-2022.xlsx,NHS Herefordshire and Worcestershire Integrated Care Board,750176
2011,ons_pop_estimates_2011-2022.xlsx,NHS Hertfordshire and West Essex Integrated Care Board,1388443
2011,ons_pop_estimates_2011-2022.xlsx,NHS Humber and North Yorkshire Integrated Care Board,1661577
2011,ons_pop_estimates_2011-2022.xlsx,NHS Kent and Medway Integrated Care Board,1731351
2011,ons_pop_estimates_2011-2022.xlsx,NHS Lancashire and South Cumbria Integrated Care Board,1649344
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1018387
2011,ons_pop_estimates_2011-2022.xlsx,NHS Lincolnshire Integrated Care Board,714768
2011,ons_pop_estimates_2011-2022.xlsx,NHS Mid and South Essex Integrated Care Board,1130376
2011,ons_pop_estimates_2011-2022.xlsx,NHS Norfolk and Waveney Integrated Care Board,974782
2011,ons_pop_estimates_2011-2022.xlsx,NHS North Central London Integrated Care Board,1353385
2011,ons_pop_estimates_2011-2022.xlsx,NHS North East London Integrated Care Board,1787159
2011,ons_pop_estimates_2011-2022.xlsx,NHS North East and North Cumbria Integrated Care Board,2914294
2011,ons_pop_estimates_2011-2022.xlsx,NHS North West London Integrated Care Board,1982762
2011,ons_pop_estimates_2011-2022.xlsx,NHS Northamptonshire Integrated Care Board,693967
2011,ons_pop_estimates_2011-2022.xlsx,NHS Nottingham and Nottinghamshire Integrated Care Board,1090695
2011,ons_pop_estimates_2011-2022.xlsx,"NHS Shropshire, Telford and Wrekin Integrated Care Board",473939
2011,ons_pop_estimates_2011-2022.xlsx,NHS Somerset Integrated Care Board,531581
2011,ons_pop_estimates_2011-2022.xlsx,NHS South East London Integrated Care Board,1668947
2011,ons_pop_estimates_2011-2022.xlsx,NHS South West London Integrated Care Board,1412154
2011,ons_pop_estimates_2011-2022.xlsx,NHS South Yorkshire Integrated Care Board,1343805
2011,ons_pop_estimates_2011-2022.xlsx,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1098265
2011,ons_pop_estimates_2011-2022.xlsx,NHS Suffolk and North East Essex Integrated Care Board,926453
2011,ons_pop_estimates_2011-2022.xlsx,NHS Surrey Heartlands Integrated Care Board,988858
2011,ons_pop_estimates_2011-2022.xlsx,NHS Sussex Integrated Care Board,1609080
2011,ons_pop_estimates_2011-2022.xlsx,NHS West Yorkshire Integrated Care Board,2276745
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",871427
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",885366
2012,ons_pop_estimates_2011-2022.xlsx,NHS Birmingham and Solihull Integrated Care Board,1292390
2012,ons_pop_estimates_2011-2022.xlsx,NHS Black Country Integrated Care Board,1148302
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",903470
2012,ons_pop_estimates_2011-2022.xlsx,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1634779
2012,ons_pop_estimates_2011-2022.xlsx,NHS Cambridgeshire and Peterborough Integrated Care Board,835987
