month,monthly_items,bnf_chemical_name
2015-08-01,73746,All chemicals
2015-09-01,85525,All chemicals
2015-10-01,85387,All chemicals
2015-11-01,83024,All chemicals
2015-12-01,90381,All chemicals
2016-01-01,84302,All chemicals
2016-02-01,82643,All chemicals
2016-03-01,87950,All chemicals
2016-04-01,89333,All chemicals
2016-05-01,88223,All chemicals
2016-06-01,91070,All chemicals
2016-07-01,88139,All chemicals
2016-08-01,82213,All chemicals
2016-09-01,92199,All chemicals
2016-10-01,87622,All chemicals
2016-11-01,92196,All chemicals
2016-12-01,94347,All chemicals
2017-01-01,91091,All chemicals
2017-02-01,84443,All chemicals
2017-03-01,100219,All chemicals
2017-04-01,87199,All chemicals
2017-05-01,96216,All chemicals
2017-06-01,98022,All chemicals
2017-07-01,94424,All chemicals
2017-08-01,88329,All chemicals
2017-09-01,95802,All chemicals
2017-10-01,95719,All chemicals
2017-11-01,98407,All chemicals
2017-12-01,97589,All chemicals
2018-01-01,100074,All chemicals
2018-02-01,90285,All chemicals
2018-03-01,102133,All chemicals
2018-04-01,96345,All chemicals
2018-05-01,103239,All chemicals
2018-06-01,102958,All chemicals
2018-07-01,100608,All chemicals
2018-08-01,95633,All chemicals
2018-09-01,98658,All chemicals
2018-10-01,105899,All chemicals
2018-11-01,105324,All chemicals
2018-12-01,103324,All chemicals
2019-01-01,107334,All chemicals
2019-02-01,97927,All chemicals
2019-03-01,111492,All chemicals
2019-04-01,105758,All chemicals
2019-05-01,116285,All chemicals
2019-06-01,110683,All chemicals
2019-07-01,110895,All chemicals
2019-08-01,109728,All chemicals
2019-09-01,113090,All chemicals
2019-10-01,119177,All chemicals
2019-11-01,116677,All chemicals
2019-12-01,118020,All chemicals
2020-01-01,125536,All chemicals
2020-02-01,114132,All chemicals
2020-03-01,131914,All chemicals
2020-04-01,118815,All chemicals
2020-05-01,112971,All chemicals
2020-06-01,117745,All chemicals
2020-07-01,121825,All chemicals
2020-08-01,109448,All chemicals
2020-09-01,126197,All chemicals
2020-10-01,129496,All chemicals
2020-11-01,126744,All chemicals
2020-12-01,132167,All chemicals
2021-01-01,126443,All chemicals
2021-02-01,118300,All chemicals
2021-03-01,137372,All chemicals
2021-04-01,133793,All chemicals
2021-05-01,131077,All chemicals
2021-06-01,139077,All chemicals
2021-07-01,137749,All chemicals
2021-08-01,126651,All chemicals
2021-09-01,141396,All chemicals
2021-10-01,137410,All chemicals
2021-11-01,144892,All chemicals
2021-12-01,149529,All chemicals
2022-01-01,148913,All chemicals
2022-02-01,137171,All chemicals
2022-03-01,160921,All chemicals
2022-04-01,148348,All chemicals
2022-05-01,159520,All chemicals
2022-06-01,161365,All chemicals
2022-07-01,157395,All chemicals
2022-08-01,151600,All chemicals
2022-09-01,166540,All chemicals
2022-10-01,164341,All chemicals
2022-11-01,171476,All chemicals
2022-12-01,166349,All chemicals
2023-01-01,171397,All chemicals
2023-02-01,165778,All chemicals
2023-03-01,193629,All chemicals
2023-04-01,171555,All chemicals
2023-05-01,189379,All chemicals
2023-06-01,193601,All chemicals
2023-07-01,189469,All chemicals
2023-08-01,183523,All chemicals
2023-09-01,189612,All chemicals
2023-10-01,189034,All chemicals
2023-11-01,191629,All chemicals
2023-12-01,185009,All chemicals
2024-01-01,202366,All chemicals
2024-02-01,187066,All chemicals
2024-03-01,201507,All chemicals
2024-04-01,205304,All chemicals
2024-05-01,212010,All chemicals
2024-06-01,199770,All chemicals
2024-07-01,210235,All chemicals
2024-08-01,197279,All chemicals
2024-09-01,209037,All chemicals
2024-10-01,219301,All chemicals
2024-11-01,215451,All chemicals
2024-12-01,221840,All chemicals
2025-01-01,237082,All chemicals
2025-02-01,216321,All chemicals
2025-03-01,238599,All chemicals
2025-04-01,229923,All chemicals
2025-05-01,246564,All chemicals
2025-06-01,244403,All chemicals
2025-07-01,253653,All chemicals
