month,bnf_chemical_name,monthly_items
2015-08-01,All chemicals,73746
2015-08-01,Atomoxetine,7389
2015-08-01,Dexamfetamine,2584
2015-08-01,Lisdexamfetamine,2327
2015-08-01,Methylphenidate,61446
2015-09-01,All chemicals,85525
2015-09-01,Atomoxetine,8326
2015-09-01,Dexamfetamine,2798
2015-09-01,Lisdexamfetamine,2795
2015-09-01,Methylphenidate,71606
2015-10-01,All chemicals,85387
2015-10-01,Atomoxetine,8287
2015-10-01,Dexamfetamine,2919
2015-10-01,Lisdexamfetamine,3001
2015-10-01,Methylphenidate,71180
2015-11-01,All chemicals,83024
2015-11-01,Atomoxetine,7975
2015-11-01,Dexamfetamine,2661
2015-11-01,Lisdexamfetamine,3059
2015-11-01,Methylphenidate,69329
2015-12-01,All chemicals,90381
2015-12-01,Atomoxetine,8740
2015-12-01,Dexamfetamine,2969
2015-12-01,Lisdexamfetamine,3414
2015-12-01,Methylphenidate,75258
2016-01-01,All chemicals,84302
2016-01-01,Atomoxetine,8203
2016-01-01,Dexamfetamine,2673
2016-01-01,Lisdexamfetamine,3321
2016-01-01,Methylphenidate,70105
2016-02-01,All chemicals,82643
2016-02-01,Atomoxetine,7797
2016-02-01,Dexamfetamine,2628
2016-02-01,Guanfacine,6
2016-02-01,Lisdexamfetamine,3427
2016-02-01,Methylphenidate,68785
2016-03-01,All chemicals,87950
2016-03-01,Atomoxetine,8458
2016-03-01,Dexamfetamine,2786
2016-03-01,Guanfacine,11
2016-03-01,Lisdexamfetamine,3779
2016-03-01,Methylphenidate,72916
2016-04-01,All chemicals,89333
2016-04-01,Atomoxetine,8608
2016-04-01,Dexamfetamine,2871
2016-04-01,Guanfacine,38
2016-04-01,Lisdexamfetamine,3933
2016-04-01,Methylphenidate,73883
2016-05-01,All chemicals,88223
2016-05-01,Atomoxetine,8401
2016-05-01,Dexamfetamine,2745
2016-05-01,Guanfacine,59
2016-05-01,Lisdexamfetamine,4042
2016-05-01,Methylphenidate,72976
2016-06-01,All chemicals,91070
2016-06-01,Atomoxetine,8612
2016-06-01,Dexamfetamine,2824
2016-06-01,Guanfacine,70
2016-06-01,Lisdexamfetamine,4260
2016-06-01,Methylphenidate,75304
2016-07-01,All chemicals,88139
2016-07-01,Atomoxetine,8573
2016-07-01,Dexamfetamine,2801
2016-07-01,Guanfacine,84
2016-07-01,Lisdexamfetamine,4253
2016-07-01,Methylphenidate,72428
2016-08-01,All chemicals,82213
2016-08-01,Atomoxetine,8345
2016-08-01,Dexamfetamine,2827
2016-08-01,Guanfacine,105
2016-08-01,Lisdexamfetamine,4060
2016-08-01,Methylphenidate,66876
2016-09-01,All chemicals,92199
2016-09-01,Atomoxetine,8801
2016-09-01,Dexamfetamine,2818
2016-09-01,Guanfacine,150
