month,monthly_ddd_quantity,bnf_chemical_name
2019-01-01,112719.34583333334,All chemicals
2019-02-01,102286.05833333333,All chemicals
2019-03-01,115963.38333333335,All chemicals
2019-04-01,113518.56666666668,All chemicals
2019-05-01,121396.30833333333,All chemicals
2019-06-01,110940.01666666668,All chemicals
2019-07-01,126274.51666666668,All chemicals
2019-08-01,105536.32083333335,All chemicals
2019-09-01,117205.17083333334,All chemicals
2019-10-01,123927.82083333335,All chemicals
2019-11-01,122588.83333333334,All chemicals
2019-12-01,116956.63333333335,All chemicals
2020-01-01,130531.43750000001,All chemicals
2020-02-01,113288.2375,All chemicals
2020-03-01,130220.95833333334,All chemicals
2020-04-01,79396.44583333333,All chemicals
2020-05-01,71709.87083333333,All chemicals
2020-06-01,87071.24583333333,All chemicals
2020-07-01,92249.23333333334,All chemicals
2020-08-01,79206.50833333333,All chemicals
2020-09-01,103452.34166666667,All chemicals
2020-10-01,105993.92666666667,All chemicals
2020-11-01,105314.54666666668,All chemicals
2020-12-01,115773.49500000001,All chemicals
2021-01-01,96426.27500000001,All chemicals
2021-02-01,94013.87583333334,All chemicals
2021-03-01,111343.35416666667,All chemicals
2021-04-01,111739.625,All chemicals
2021-05-01,108144.53783333334,All chemicals
2021-06-01,126710.15000000001,All chemicals
2021-07-01,117977.925,All chemicals
2021-08-01,103364.44983333333,All chemicals
2021-09-01,122730.31883333334,All chemicals
2021-10-01,117422.68383333334,All chemicals
2021-11-01,121883.11533333334,All chemicals
2021-12-01,129561.73333333334,All chemicals
2022-01-01,124223.55,All chemicals
2022-02-01,110915.3925,All chemicals
2022-03-01,133999.19866666666,All chemicals
2022-04-01,138569.57083333333,All chemicals
2022-05-01,150535.42083333334,All chemicals
2022-06-01,146919.95833333334,All chemicals
2022-07-01,138550.2,All chemicals
2022-08-01,125246.72916666667,All chemicals
2022-09-01,145926.545,All chemicals
2022-10-01,136152.01666666666,All chemicals
2022-11-01,161733.3125,All chemicals
2022-12-01,143090.2125,All chemicals
2023-01-01,151197.25833333333,All chemicals
2023-02-01,160926.88583333333,All chemicals
2023-03-01,187468.67333333334,All chemicals
2023-04-01,150165.89583333334,All chemicals
2023-05-01,174662.63333333333,All chemicals
2023-06-01,186682.77500000002,All chemicals
2023-07-01,180348.80583333335,All chemicals
2023-08-01,174777.16166666668,All chemicals
2023-09-01,189150.625,All chemicals
2023-10-01,186829.42500000002,All chemicals
2023-11-01,202744.79583333334,All chemicals
2023-12-01,183184.80283333335,All chemicals
2024-01-01,198635.0625,All chemicals
2024-02-01,190877.94166666668,All chemicals
2024-03-01,187047.84583333335,All chemicals
2024-04-01,196877.40000000002,All chemicals
2024-05-01,215781.00416666668,All chemicals
2024-06-01,200056.87083333335,All chemicals
2024-07-01,215313.6875,All chemicals
2024-08-01,195435.165,All chemicals
2024-09-01,216952.31916666668,All chemicals
2024-10-01,233115.78416666668,All chemicals
2024-11-01,227662.57,All chemicals
2024-12-01,223018.625,All chemicals
2025-01-01,229072.63333333333,All chemicals
2025-02-01,199668.44166666668,All chemicals
2025-03-01,216343.25,All chemicals
2025-04-01,208012.44166666668,All chemicals
2025-05-01,199094.49416666667,All chemicals
2025-06-01,180458.59583333335,All chemicals
2025-07-01,187582.60333333333,All chemicals
2025-08-01,154427.73750000002,All chemicals
2025-09-01,180764.08083333334,All chemicals
2025-10-01,190478.14583333334,All chemicals
2025-11-01,167083.30316666668,All chemicals
2025-12-01,184271.92916666667,All chemicals
