month,bnf_chemical_name,monthly_ddd_quantity
2019-01-01,All chemicals,112719.34583333334
2019-01-01,Atomoxetine,6254.2125000000005
2019-01-01,Dexamfetamine,3060.3333333333335
2019-01-01,Guanfacine,3303.3333333333335
2019-01-01,Lisdexamfetamine,22701
2019-01-01,Methylphenidate,77400.46666666667
2019-02-01,All chemicals,102286.05833333333
2019-02-01,Atomoxetine,6248.0250000000005
2019-02-01,Dexamfetamine,3818.3333333333335
2019-02-01,Guanfacine,3603.3333333333335
2019-02-01,Lisdexamfetamine,19981
2019-02-01,Methylphenidate,68635.36666666667
2019-03-01,All chemicals,115963.38333333335
2019-03-01,Atomoxetine,6252.95
2019-03-01,Dexamfetamine,2180.3333333333335
2019-03-01,Guanfacine,4592
2019-03-01,Lisdexamfetamine,23510.666666666668
2019-03-01,Methylphenidate,79427.43333333333
2019-04-01,All chemicals,113518.56666666668
2019-04-01,Atomoxetine,7683.3
2019-04-01,Dexamfetamine,5168.000000000001
2019-04-01,Guanfacine,4881
2019-04-01,Lisdexamfetamine,22997.666666666668
2019-04-01,Methylphenidate,72788.6
2019-05-01,All chemicals,121396.30833333333
2019-05-01,Atomoxetine,6530.975
2019-05-01,Dexamfetamine,2675.3333333333335
2019-05-01,Guanfacine,5608.333333333333
2019-05-01,Lisdexamfetamine,24066
2019-05-01,Methylphenidate,82515.66666666667
2019-06-01,All chemicals,110940.01666666668
2019-06-01,Atomoxetine,6543.25
2019-06-01,Dexamfetamine,3573.666666666667
2019-06-01,Guanfacine,5248
2019-06-01,Lisdexamfetamine,23237
2019-06-01,Methylphenidate,72338.1
2019-07-01,All chemicals,126274.51666666668
2019-07-01,Atomoxetine,7451.75
2019-07-01,Dexamfetamine,5692.333333333334
2019-07-01,Guanfacine,5534.666666666667
2019-07-01,Lisdexamfetamine,24627.666666666668
2019-07-01,Methylphenidate,82968.1
2019-08-01,All chemicals,105536.32083333335
2019-08-01,Atomoxetine,6766.1875
2019-08-01,Dexamfetamine,2669.666666666667
2019-08-01,Guanfacine,5145
2019-08-01,Lisdexamfetamine,20420.666666666668
2019-08-01,Methylphenidate,70534.8
2019-09-01,All chemicals,117205.17083333334
2019-09-01,Atomoxetine,6915.1375
2019-09-01,Dexamfetamine,4017.3333333333335
2019-09-01,Guanfacine,6152.333333333333
2019-09-01,Lisdexamfetamine,22567.666666666668
2019-09-01,Methylphenidate,77552.70000000001
2019-10-01,All chemicals,123927.82083333335
2019-10-01,Atomoxetine,7986.3875
2019-10-01,Dexamfetamine,3686.3333333333335
2019-10-01,Guanfacine,6147.333333333333
2019-10-01,Lisdexamfetamine,21742
2019-10-01,Methylphenidate,84365.76666666668
2019-11-01,All chemicals,122588.83333333334
2019-11-01,Atomoxetine,7226.6
2019-11-01,Dexamfetamine,3760.666666666667
2019-11-01,Guanfacine,6942.333333333334
2019-11-01,Lisdexamfetamine,20655
2019-11-01,Methylphenidate,84004.23333333334
2019-12-01,All chemicals,116956.63333333335
2019-12-01,Atomoxetine,7396.6
2019-12-01,Dexamfetamine,2850
2019-12-01,Guanfacine,7146
2019-12-01,Lisdexamfetamine,21302.333333333336
2019-12-01,Methylphenidate,78261.70000000001
2020-01-01,All chemicals,130531.43750000001
2020-01-01,Atomoxetine,6882.1375
2020-01-01,Dexamfetamine,4823.333333333334
2020-01-01,Guanfacine,7270.333333333333
2020-01-01,Lisdexamfetamine,25670.666666666668
2020-01-01,Methylphenidate,85884.96666666667
2020-02-01,All chemicals,113288.2375
2020-02-01,Atomoxetine,6113.3375
2020-02-01,Dexamfetamine,2757.666666666667
2020-02-01,Guanfacine,5927.666666666667
2020-02-01,Lisdexamfetamine,21097
2020-02-01,Methylphenidate,77392.56666666667
2020-03-01,All chemicals,130220.95833333334
2020-03-01,Atomoxetine,6994.0250000000005
2020-03-01,Dexamfetamine,4922
2020-03-01,Guanfacine,9126.333333333334
2020-03-01,Lisdexamfetamine,23049.666666666668
2020-03-01,Methylphenidate,86128.93333333333
2020-04-01,All chemicals,79396.44583333333
2020-04-01,Atomoxetine,6214.6125
2020-04-01,Dexamfetamine,1433.3333333333333
2020-04-01,Guanfacine,5629.333333333334
2020-04-01,Lisdexamfetamine,12696.666666666668
2020-04-01,Methylphenidate,53422.50000000001
2020-05-01,All chemicals,71709.87083333333
2020-05-01,Atomoxetine,4608.5375
2020-05-01,Dexamfetamine,2345
2020-05-01,Guanfacine,5219
2020-05-01,Lisdexamfetamine,10505.666666666668
2020-05-01,Methylphenidate,49031.66666666667
2020-06-01,All chemicals,87071.24583333333
2020-06-01,Atomoxetine,6043.9125
2020-06-01,Dexamfetamine,4097
2020-06-01,Guanfacine,6434.666666666667
2020-06-01,Lisdexamfetamine,13285
2020-06-01,Methylphenidate,57210.66666666667
2020-07-01,All chemicals,92249.23333333334
2020-07-01,Atomoxetine,7185.6
2020-07-01,Dexamfetamine,3328.666666666667
2020-07-01,Guanfacine,7308.333333333333
2020-07-01,Lisdexamfetamine,15149.333333333334
2020-07-01,Methylphenidate,59277.3
2020-08-01,All chemicals,79206.50833333333
2020-08-01,Atomoxetine,6120.575
2020-08-01,Dexamfetamine,4927.666666666667
2020-08-01,Guanfacine,4853.333333333333
2020-08-01,Lisdexamfetamine,11235
2020-08-01,Methylphenidate,52069.933333333334
2020-09-01,All chemicals,103452.34166666667
2020-09-01,Atomoxetine,5778.2750000000005
2020-09-01,Dexamfetamine,4259.333333333334
2020-09-01,Guanfacine,7718.333333333333
2020-09-01,Lisdexamfetamine,16295.333333333334
2020-09-01,Methylphenidate,69401.06666666667
2020-10-01,All chemicals,105993.92666666667
2020-10-01,Atomoxetine,6791.55
2020-10-01,Dexamfetamine,4488.333333333333
2020-10-01,Guanfacine,6036.71
2020-10-01,Lisdexamfetamine,17380.666666666668
2020-10-01,Methylphenidate,71296.66666666667
2020-11-01,All chemicals,105314.54666666668
2020-11-01,Atomoxetine,6494.25
2020-11-01,Dexamfetamine,3539.3333333333335
2020-11-01,Guanfacine,6751.13
2020-11-01,Lisdexamfetamine,18150.333333333336
2020-11-01,Methylphenidate,70379.5
2020-12-01,All chemicals,115773.49500000001
2020-12-01,Atomoxetine,6946.2750000000005
2020-12-01,Dexamfetamine,5347.666666666667
2020-12-01,Guanfacine,7011
2020-12-01,Lisdexamfetamine,21579.666666666668
2020-12-01,Methylphenidate,74888.88666666667
2021-01-01,All chemicals,96426.27500000001
2021-01-01,Atomoxetine,5611.375
2021-01-01,Dexamfetamine,3925.666666666667
2021-01-01,Guanfacine,7431.666666666667
2021-01-01,Lisdexamfetamine,17956.666666666668
2021-01-01,Methylphenidate,61500.9
2021-02-01,All chemicals,94013.87583333334
2021-02-01,Atomoxetine,5622.6625
2021-02-01,Dexamfetamine,2484.3333333333335
2021-02-01,Guanfacine,7387
2021-02-01,Lisdexamfetamine,17245.333333333336
2021-02-01,Methylphenidate,61274.54666666667
2021-03-01,All chemicals,111343.35416666667
2021-03-01,Atomoxetine,6685.7875
2021-03-01,Dexamfetamine,4610.666666666667
2021-03-01,Guanfacine,8033.666666666666
2021-03-01,Lisdexamfetamine,19734
2021-03-01,Methylphenidate,72279.23333333334
2021-04-01,All chemicals,111739.625
2021-04-01,Atomoxetine,6452.725
2021-04-01,Dexamfetamine,3913.3333333333335
2021-04-01,Guanfacine,8720.333333333334
2021-04-01,Lisdexamfetamine,18224.333333333336
2021-04-01,Methylphenidate,74428.90000000001
2021-05-01,All chemicals,108144.53783333334
2021-05-01,Atomoxetine,6177.2125
2021-05-01,Dexamfetamine,4422.666666666667
2021-05-01,Guanfacine,7135.333333333333
2021-05-01,Lisdexamfetamine,18454.666666666668
2021-05-01,Methylphenidate,71954.65866666667
2021-06-01,All chemicals,126710.15000000001
2021-06-01,Atomoxetine,7211.1500000000005
2021-06-01,Dexamfetamine,4993
2021-06-01,Guanfacine,8809.333333333334
2021-06-01,Lisdexamfetamine,23718.666666666668
2021-06-01,Methylphenidate,81978
2021-07-01,All chemicals,117977.925
2021-07-01,Atomoxetine,6249.125
2021-07-01,Dexamfetamine,4389
2021-07-01,Guanfacine,8643
2021-07-01,Lisdexamfetamine,19985.333333333336
2021-07-01,Methylphenidate,78711.46666666667
2021-08-01,All chemicals,103364.44983333333
2021-08-01,Atomoxetine,6549.8625
2021-08-01,Dexamfetamine,3018.6666666666665
2021-08-01,Guanfacine,8785
2021-08-01,Lisdexamfetamine,19760
2021-08-01,Methylphenidate,65250.92066666667
2021-09-01,All chemicals,122730.31883333334
2021-09-01,Atomoxetine,7337.9375
2021-09-01,Dexamfetamine,4645
2021-09-01,Guanfacine,8677
2021-09-01,Lisdexamfetamine,20164.666666666668
2021-09-01,Methylphenidate,81905.71466666667
2021-10-01,All chemicals,117422.68383333334
2021-10-01,Atomoxetine,6430.8625
2021-10-01,Dexamfetamine,2637.666666666667
2021-10-01,Guanfacine,8517.666666666666
2021-10-01,Lisdexamfetamine,21162.666666666668
2021-10-01,Methylphenidate,78673.82133333334
2021-11-01,All chemicals,121883.11533333334
2021-11-01,Atomoxetine,7446.21
2021-11-01,Dexamfetamine,3852.3333333333335
2021-11-01,Guanfacine,8556.333333333334
2021-11-01,Lisdexamfetamine,22142.333333333336
2021-11-01,Methylphenidate,79885.90533333334
2021-12-01,All chemicals,129561.73333333334
2021-12-01,Atomoxetine,7344.1
2021-12-01,Dexamfetamine,3871.3333333333335
2021-12-01,Guanfacine,8446.666666666666
2021-12-01,Lisdexamfetamine,23286.666666666668
2021-12-01,Methylphenidate,86612.96666666667
2022-01-01,All chemicals,124223.55
2022-01-01,Atomoxetine,7954.25
2022-01-01,Dexamfetamine,5632
2022-01-01,Guanfacine,9277.333333333334
2022-01-01,Lisdexamfetamine,21810.666666666668
2022-01-01,Methylphenidate,79549.3
2022-02-01,All chemicals,110915.3925
2022-02-01,Atomoxetine,5937.4125
2022-02-01,Dexamfetamine,2756
2022-02-01,Guanfacine,8191
2022-02-01,Lisdexamfetamine,20866.333333333336
