ods_code,ods_name,successors,predecessors,ultimate_successors,legal_closed_date,operational_closed_date,legal_open_date,operational_open_date,postcode,region_code,region,icb_code,icb
G6V2S,North London NHS Foundation Trust,,,,NA,NA,2024-11-01,2024-07-10,NW1 0PE,Y56,London,QMJ,NHS North Central London
R0A,Manchester University NHS Foundation Trust,,,,NA,NA,2017-10-01,2017-08-02,M13 9WL,Y62,North West,QOP,NHS Greater Manchester
R0B,South Tyneside And Sunderland NHS Foundation Trust,,,,NA,NA,2019-04-01,2019-03-13,SR4 7TP,Y63,North East And Yorkshire,QHM,NHS North East And North Cumbria
R0C,Project Nightingale NHS Trust,,,,NA,2020-03-26,NA,2020-03-01,E16 1XL,Y56,London,Q71,NHS England London
R0D,University Hospitals Dorset NHS Foundation Trust,,,,NA,NA,2020-10-01,2020-08-12,BH15 2JB,Y58,South West,QVV,NHS Dorset
R1A,Herefordshire And Worcestershire Health And Care NHS Trust,,,,NA,NA,2011-07-01,2011-06-22,WR5 1JR,Y60,Midlands,QGH,NHS Herefordshire And Worcestershire
R1C,Solent NHS Trust,,,,2024-09-30,NA,2011-04-01,2011-04-01,SO19 8BR,Y59,South East,QRL,NHS Hampshire And Isle Of Wight
R1D,Shropshire Community Health NHS Trust,,,,NA,NA,2011-07-01,2011-06-22,SY2 6FG,Y60,Midlands,QOC,"NHS Shropshire, Telford And Wrekin"
R1E,Staffordshire And Stoke On Trent Partnership NHS Trust,,,,2018-05-31,NA,2011-09-01,2011-08-19,ST5 1QG,Y60,Midlands,Q76,NHS England Midlands (North Midlands)
R1F,Isle Of Wight NHS Trust,,,,NA,NA,NA,2012-04-01,PO30 5TG,Y59,South East,QRL,NHS Hampshire And Isle Of Wight
R1G,Torbay And Southern Devon Health And Care NHS Trust,,,,2015-09-30,2020-09-30,2012-04-01,2012-03-20,TQ2 7TD,Y58,South West,Q85,NHS England South West (South West South)
R1H,Barts Health NHS Trust,,,,NA,NA,2012-04-01,2012-03-20,E1 2ES,Y56,London,QMF,NHS North East London
R1J,Gloucestershire Care Services NHS Trust,,,,2019-09-30,NA,2013-03-22,2013-02-08,GL3 4AW,Y58,South West,Q86,NHS England South West (South West North)
R1K,London North West University Healthcare NHS Trust,,,,NA,NA,2014-10-01,2014-08-21,HA1 3UJ,Y56,London,QRV,NHS North West London
R1L,Essex Partnership University NHS Foundation Trust,,,,NA,NA,2017-04-01,2017-01-25,SS11 7XX,Y61,East Of England,QH8,NHS Mid And South Essex
RA0,Croydon And Surrey Downs Community NHS Trust,,,,NA,2002-03-31,NA,1991-04-01,CR9 2RS,NA,NA,NA,NA
RA1,Epsom Health Care NHS Trust,,,,NA,1999-03-31,NA,1991-04-01,KT18 7EG,NA,NA,NA,NA
RA2,Royal Surrey NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,GU2 7XX,Y59,South East,QXU,NHS Surrey Heartlands
RA3,Weston Area Health NHS Trust,,,,2020-03-31,NA,1991-04-01,1991-04-01,BS23 4TQ,Y58,South West,Q86,NHS England South West (South West North)
RA4,Yeovil District Hospital NHS Foundation Trust,,,,2023-03-31,NA,1991-04-01,1991-04-01,BA21 4AT,Y58,South West,QSL,NHS Somerset
RA5,East Gloucestershire NHS Trust,,,,NA,2002-03-31,NA,1991-04-01,GL53 7AG,NA,NA,NA,NA
RA6,Cornwall Community Healthcare NHS Trust,,,,NA,1993-03-31,NA,1991-04-01,PL26 6AA,NA,NA,NA,NA
RA7,University Hospitals Bristol And Weston NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,BS1 3NU,Y58,South West,QUY,"NHS Bristol, North Somerset And South Gloucestershire"
RA8,Trecare NHS Trust,,,,NA,1999-03-31,NA,1991-04-01,TR1 2SS,NA,NA,NA,NA
RA9,Torbay And South Devon NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,TQ2 7AA,Y58,South West,QJK,NHS Devon
RAB,The Freeman Group Of Hospitals NHS Trust,,,,NA,1998-03-31,NA,1991-04-01,NE7 7DN,NA,NA,NA,NA
RAE,Bradford Teaching Hospitals NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,BD9 6RJ,Y63,North East And Yorkshire,QWO,NHS West Yorkshire
RAF,Northern General Hospital NHS Trust,,,,NA,2001-03-31,NA,1991-04-01,S5 7AU,NA,NA,NA,NA
RAG,Doncaster Royal Infirmary And Montagu Hospital NHS Trust,,,,NA,2001-03-31,NA,1991-04-01,DN2 5LT,NA,NA,NA,NA
RAJ,Mid And South Essex NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,SS0 0RY,Y61,East Of England,QH8,NHS Mid And South Essex
RAK,Royal London Hospital And Associated Community Services NHS Trust,,,,NA,1994-03-31,NA,1991-04-01,E1 1BB,NA,NA,NA,NA
RAL,Royal Free London NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,NW3 2QG,Y56,London,QMJ,NHS North Central London
RAM,"Royal National Throat, Nose And Ear Hospital NHS Trust",,,,NA,1996-03-31,NA,1991-04-01,WC1X 8DA,NA,NA,NA,NA
RAN,Royal National Orthopaedic Hospital NHS Trust,,,,NA,NA,NA,1991-04-01,HA7 4LP,Y56,London,QRV,NHS North West London
RAP,North Middlesex University Hospital NHS Trust,,,,2024-12-31,NA,1991-04-01,1991-04-01,N18 1QX,Y56,London,QMJ,NHS North Central London
RAQ,North Hertfordshire NHS Trust,,,,NA,2000-03-31,NA,1991-04-01,SG1 4AB,NA,NA,NA,NA
RAS,The Hillingdon Hospitals NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,UB8 3NN,Y56,London,QRV,NHS North West London
RAT,North East London NHS Foundation Trust,,,,NA,NA,NA,2001-04-01,RM13 8GQ,Y56,London,QMF,NHS North East London
RAU,Central Middlesex Hospital NHS Trust,,,,NA,1999-03-31,NA,1991-04-01,NW10 7NS,NA,NA,NA,NA
RAV,The Guys And Lewisham NHS Trust,,,,NA,1993-03-31,NA,1991-04-01,SE1 9RT,NA,NA,NA,NA
RAX,Kingston And Richmond NHS Foundation Trust,,,,NA,NA,NA,1991-04-01,KT2 7QB,Y56,London,QWE,NHS South West London
RAZ,St Helier NHS Trust,,,,NA,1999-03-31,NA,1991-04-01,SM5 1AA,NA,NA,NA,NA
RB4,Essex Ambulance Service NHS Trust,,,,2006-06-30,2009-03-31,1992-04-01,1992-04-01,CM1 7WS,NA,NA,NA,NA
RB6,Mersey Regional Ambulance Service NHS Trust,,,,NA,2006-06-30,NA,1992-04-01,L6 4EG,NA,NA,NA,NA
RB7,Staffordshire Ambulance Service NHS Trust,,,,2007-09-30,2009-03-31,1992-04-01,1992-04-01,ST16 2TQ,NA,NA,NA,NA
RB8,South Yorkshire Ambulance Service NHS Trust,,,,NA,2006-06-30,NA,1992-04-01,S60 2BQ,NA,NA,NA,NA
RBA,Taunton And Somerset NHS Foundation Trust,,,,2020-03-31,NA,1991-04-01,1991-04-01,TA1 5DA,Y58,South West,Q85,NHS England South West (South West South)
